,title,category,composer,year,epoch,country,stars
110,"Piano Quintet in A Major (Trout Quintet), D. 667",Piano Quintet,Franz Schubert,1819,Early Romantic,Austria,313
111,"Piano Quintet in F Minor, Op. 34",Piano Quintet,Johannes Brahms,1864,Romantic,Germany,310
112,"String Quartet No. 15 in A Minor, Op. 132",String Quartet,Ludwig van Beethoven,1825,Early Romantic,Germany,306
113,"Piano Concerto, Op. 16",Piano Concerto,Edvard Grieg,1868,Romantic,Norway,303
114,Fantasia on a Theme by Thomas Tallis,Unsorted Orchestral,Ralph Vaughan Williams,1910,Late Romantic,England,302
115,"Enigma Variations, Op. 36",Unsorted Orchestral,Edward Elgar,1899,Late Romantic,England,302
116,"String Quartet No. 19 in C Major (Dissonance), K. 465",String Quartet,Wolfgang Amadeus Mozart,1785,Classical,Austria,292
117,"Cello Concerto No. 1 in C Major, VIIb/1",Cello Concerto,Joseph Haydn,1765,Classical,Austria,291
118,"Serenade for Strings in E Major, Op. 22",Unsorted Orchestral,Antonín Dvořák,1875,Romantic,Czech Republic,289
119,"Ave verum corpus in D Major, K. 618",Choral orchestral,Wolfgang Amadeus Mozart,1791,Classical,Austria,285
120,"Symphony No. 2 in D Minor, Op. 73",Symphony,Johannes Brahms,1877,Romantic,Germany,283
121,"Clarinet Quintet in B Minor, Op. 115",Clarinet Quintet,Johannes Brahms,1891,Romantic,Germany,283
122,"Symphony No. 5 in E-flat Major, Op. 82",Symphony,Jean Sibelius,1919,Late Romantic,Finland,279
123,"Symphony No. 4 in A Major (Italian), Op. 90",Symphony,Felix Mendelssohn,1833,Romantic,Germany,277
124,"Magnificat in D Major, BWV 243",Choral orchestral,Johann Sebastian Bach,1731,Baroque,Germany,277
125,Gaspard de la nuit,Piano Sonata,Maurice Ravel,1908,Late Romantic,France,275
126,"Sonata in B Minor, S. 178",Piano Sonata,Franz Liszt,1853,Romantic,Hungary,274
127,Ave Maria ... Virgo Serena,Chant,Josquin des Prez,-1,Medieval-Renaissance,Belgium,271
128,"Violin Sonata No. 3 in D Minor, Op. 108",Violin Sonata,Johannes Brahms,1888,Romantic,Germany,263
129,Daphnis et Chloé,Ballet,Maurice Ravel,1912,Late Romantic,France,261
130,String Quartet in F Major,String Quartet,Maurice Ravel,1903,Late Romantic,France,260
131,"Harpsichord conceto No. 3 in D Major, BWV 1054",Harpsichord conceto,Johann Sebastian Bach,1738,Baroque,Germany,256
132,"String Quartet No. 12 in F Major (American), Op. 96",String Quartet,Antonín Dvořák,1893,Romantic,Czech Republic,256
133,"Parsifal, WWV 111",Opera,Richard Wagner,1882,Romantic,Germany,248
134,"Verklärte Nacht (Transfigured Night), Op. 4",Sextet,Arnold Schoenberg,1899,20th Century,Austria,244
135,String Quartet No. 2 in D Major,String Quartet,Alexander Borodin,1881,Romantic,Russia,243
136,"Symphony No. 4 in E-flat Major (Romantic), WAB 104",Symphony,Anton Bruckner,1874,Romantic,Austria,240
137,"Die Meistersinger von Nürnberg, WWV 96",Opera,Richard Wagner,1867,Romantic,Germany,238
138,"Symphony No. 8 in C Minor (The Apocalyptic), WAB 108",Symphony,Anton Bruckner,1892,Romantic,Austria,238
139,"Concerto for Orchestra, 116, BB 123",Unsorted Orchestral,Béla Bartók,1943,20th Century,Hungary,235
140,"Piano Quintet No. 2 in A Major, Op. 81, B. 155",Piano Quintet,Antonín Dvořák,1887,Romantic,Czech Republic,233
141,"An Alpine Symphony, Op. 64",Unsorted Orchestral,Richard Strauss,1915,Late Romantic,Germany,232
142,Otello,Opera,Giuseppe Verdi,1885,Romantic,Italy,229
143,"Piano Trio No. 1 in D Minor, Op. 49",Piano Trio,Felix Mendelssohn,1839,Romantic,Germany,228
144,"Piano Quintet in E-flat Major, Op. 44",Piano Quintet,Robert Schumann,1842,Romantic,Germany,222
145,"Clarinet Trio in A Minor, Op. 114",Piano Trio,Johannes Brahms,1891,Romantic,Germany,222
146,"Requiem, Op. 9",Mass / Requiem,Maurice Duruflé,1947,20th Century,France,211
