,title,category,composer,year,epoch,country,stars
769,"Guitar Quintet No. 7 in E Minor, G. 451",String Quintet,Luigi Boccherini,1799,Classical,Italy,3
770,"Clarinet Concerto, Op. 57",Wind Concerto,Carl Nielsen,1928,Late Romantic,Denmark,3
771,"Souvenir de Florence, Op. 70",Sextet,Pyotr Ilyich Tchaikovsky,1890,Romantic,Russia,3
772,Hexachordum Apollinis,Organ,Johann Pachelbel,-1,Baroque,Germany,3
773,Tafelmusik,Unsorted Chamber,Georg Philipp Telemann,-1,Baroque,Germany,3
774,"Morgenblätter, Op. 279",Unsorted Orchestral,Johann Strauss II,1863,Romantic,Austria,3
775,"Sinfonia Concertante for Violin, Viola and Orchestra in E-flat Major, K. 364",Unsorted Orchestral,Wolfgang Amadeus Mozart,1779,Classical,Austria,3
776,"Cello Sonata in D Minor, Op. 40",Cello Sonata,Dmitri Shostakovich,1934,20th Century,Russia,3
777,"String Quartet No. 6, Sz. 114",String Quartet,Béla Bartók,1939,20th Century,Hungary,3
778,Lulu,Opera,Alban Berg,1935,20th Century,Austria,3
779,"Symphony No. 3 in C Minor (The Divine Poem), Op. 43",Symphony,Alexander Scriabin,1904,Late Romantic,Russia,3
780,"Flute Concerto in D Minor, H. 484",Wind Concerto,Carl Philipp Emanuel Bach,1747,Classical,Germany,3
781,Sospiri,Unsorted Orchestral,Edward Elgar,1914,Late Romantic,England,3
782,"Symphony No. 102 in B-flat Major, Hoboken I/102",Symphony,Joseph Haydn,1794,Classical,Austria,3
783,"La lugubre gondola, S. 200",Piano Sonata,Franz Liszt,1882,Romantic,Hungary,3
784,"An die Musik, D. 547",Lieder / Song,Franz Schubert,1817,Early Romantic,Austria,3
785,"Piano Sonata, Hob. XVI/52",Piano Sonata,Joseph Haydn,1794,Classical,Austria,3
786,"Cello Sonata No. 1, H. 277",Cello Sonata,Bohuslav Martinů,1939,20th Century,Czech Republic,3
787,"Piano Trio No. 3 in C Minor, Op. 101",Piano Trio,Johannes Brahms,1886,Romantic,Germany,3
788,Symphony No. 3 (Symphonie Liturgique),Symphony,Arthur Honegger,1946,20th Century,Switzerland,3
789,"Cello Sonata in C Major, Op. 119",Cello Sonata,Sergei Prokofiev,1949,20th Century,Russia,3
790,"Till Eulenspiegels lustige Streiche (Till Eulenspiegel's Merry Pranks), Op. 28",Symphonic Poem,Richard Strauss,1895,Late Romantic,Germany,3
791,"Album for the Young (Album für die Jugend), Op. 68",Piano Sonata,Robert Schumann,1848,Romantic,Germany,3
792,"Harpsichord conceto No. 7 in G Minor, BWV 1058",Harpsichord conceto,Johann Sebastian Bach,1738,Baroque,Germany,3
793,"War Requiem, Op. 66",Mass / Requiem,Benjamin Britten,1962,20th Century,England,3
794,The Chairman Dances,Unsorted Orchestral,John Adams,1985,Post-War,United States,3
795,"Liturgy of St. John Chrysostom, Op. 41",Chant,Pyotr Ilyich Tchaikovsky,1878,Romantic,Russia,3
796,"String Quartets, Op. 33 (Russian)",String Quartet,Joseph Haydn,1781,Classical,Austria,3
797,The Second Booke of Songs,Lieder / Song,John Dowland,-1,Medieval-Renaissance,England,3
798,Toccatas,Piano Sonata,Alessandro Scarlatti,-1,Baroque,Italy,3
799,"String Quartet No. 1 in E Minor (From My Life), JB 1:105",String Quartet,Bedřich Smetana,1876,Romantic,Czech Republic,3
800,"L'incoronazione di Poppea (The Coronation of Poppaea), SV 308",Opera,Claudio Monteverdi,1643,Medieval-Renaissance,Italy,3
801,"Erwartung, Op. 17",Opera,Arnold Schoenberg,1909,20th Century,Austria,3
802,"Cinderella, Op. 87",Ballet,Sergei Prokofiev,1944,20th Century,Russia,3
803,Metastaseis,Unsorted Orchestral,Iannis Xenakis,1954,Post-War,Greece,3
804,Vingt regards sur l'enfant-Jésus,Piano Sonata,Olivier Messiaen,1944,20th Century,France,3
805,"Trumpet Concerto, TWV 51:D7",Wind Concerto,Georg Philipp Telemann,1714,Baroque,Germany,3
806,"Dante Symphony (A Symphony to Dante's Divine Comedy), S. 109",Symphony,Franz Liszt,1856,Romantic,Hungary,3
807,"Piano Sonata No. 1 in F Minor, Op. 6",Piano Sonata,Alexander Scriabin,1892,Late Romantic,Russia,3
808,Cello Sonata No. 1,Cello Sonata,Alfred Schnittke,1978,Post-War,Russia,3
809,Sinfonia,Symphony,Luciano Berio,1969,Post-War,Italy,3
810,"String Quartet No. 6 in F Minor, Op. 80",String Quartet,Felix Mendelssohn,1847,Romantic,Germany,3
811,"String Quartet No. 3, Sz. 85",String Quartet,Béla Bartók,1927,20th Century,Hungary,3
812,Il trovatore,Opera,Giuseppe Verdi,1853,Romantic,Italy,3
813,Faust,Opera,Charles Gounod,1859,Romantic,France,3
814,"Bassoon Concerto in B-flat Major, K. 191/186e",Wind Concerto,Wolfgang Amadeus Mozart,1774,Classical,Austria,3
815,Trombone Concerto,Wind Concerto,Nikolai Rimsky-Korsakov,1877,Romantic,Russia,3
816,"Fantasia and Fugue in A Minor, BWV 904",Piano Sonata,Johann Sebastian Bach,1725,Baroque,Germany,3
817,"Chaconne in G Minor, Z. 730",Unsorted Orchestral,Henry Purcell,-1,Baroque,England,3
818,Different Trains,String Quartet,Steve Reich,1988,Post-War,United States,3
819,"Symphony No. 3 in A Minor, Op. 44",Symphony,Sergei Rachmaninoff,1936,Late Romantic,Russia,3
820,"String Quartet No. 13 in B-flat Minor, Op. 138",String Quartet,Dmitri Shostakovich,1970,20th Century,Russia,3
821,"Six Pieces for Piano, Op. 118",Piano Sonata,Johannes Brahms,1893,Romantic,Germany,3
822,"Ariodante, HWV 33",Opera,George Frideric Handel,1734,Baroque,Germany,3
823,Sonatas and Interludes,Piano Sonata,John Cage,1948,Post-War,United States,3
824,"Te Deum in C Major, WAB 45",Choral orchestral,Anton Bruckner,1881,Romantic,Austria,3
825,"Horn Concerto No. 2 in E-flat Major, TrV 283",Wind Concerto,Richard Strauss,1942,Late Romantic,Germany,3
826,"Miserere, Op. 44",Chant,Henryk Górecki,1981,Post-War,Poland,3
827,"Haugtussa (The Mountain Maid), Op. 67",Lieder / Song,Edvard Grieg,1895,Romantic,Norway,3
828,"Athalia, HWV 52",Choral orchestral,George Frideric Handel,1733,Baroque,Germany,3
829,Skazki (Tales),Piano Sonata,Nikolai Medtner,1928,Late Romantic,Russia,3
830,"Oboe Sonata, FP 185",Unsorted Chamber,Francis Poulenc,1962,20th Century,France,3
831,"Madrigals, Book 7 (Il Settimo Libro de Madrigali), SV 117–145",Voice and Orchestra,Claudio Monteverdi,-1,Medieval-Renaissance,Italy,3
832,The Battell,Unsorted Orchestral,William Byrd,-1,Medieval-Renaissance,England,3
833,Uirapuru,Unsorted Orchestral,Heitor Villa-Lobos,1917,20th Century,Brazil,3
834,"Ballet d'Alcidiane, LWV 9",Ballet,Jean-Baptiste Lully,1658,Baroque,France,3
835,Piano Sonata,Piano Sonata,Witold Lutosławski,1934,Post-War,Poland,3
836,"Toccata, Adagio and Fugue in C Major (Dorian), BWV 564",Organ,Johann Sebastian Bach,1727,Baroque,Germany,3
837,Symphony No. 3,Symphony,Aaron Copland,1946,20th Century,United States,3
838,"Cello Sonata in G Minor, Op. 65",Cello Sonata,Frédéric Chopin,1846,Romantic,Poland,3
839,"La clemenza di Tito, K. 621",Opera,Wolfgang Amadeus Mozart,1791,Classical,Austria,3
840,"Manfred, Op. 115",Unsorted Orchestral,Robert Schumann,1848,Romantic,Germany,3
841,Agon,Ballet,Igor Stravinsky,1957,20th Century,Russia,3
842,"Violin Sonata No. 3 in C Minor, Op. 45",Violin Sonata,Edvard Grieg,1887,Romantic,Norway,3
843,"Liederkreis, Op. 39",Lieder / Song,Robert Schumann,1840,Romantic,Germany,3
844,"Alexander Nevsky, Op. 78",Unsorted Orchestral,Sergei Prokofiev,1939,20th Century,Russia,3
845,L'Histoire du Soldat (The Soldier's Tale),Unsorted Orchestral,Igor Stravinsky,1918,20th Century,Russia,3
846,From Me Flows What You Call Time,Unsorted Orchestral,Toru Takemitsu,1990,Post-War,Japan,3
847,Tehillim,Choral orchestral,Steve Reich,1981,Post-War,United States,3
848,Symphonic Metamorphosis of Themes by Carl Maria von Weber,Unsorted Orchestral,Paul Hindemith,1943,20th Century,Germany,3
849,"The Seasons, Op. 67",Ballet,Alexander Glazunov,1899,Late Romantic,Russia,3
850,Apollo (Apollon musagète),Ballet,Igor Stravinsky,1928,20th Century,Russia,3
851,Euryanthe,Opera,Carl Maria von Weber,1823,Early Romantic,Germany,3
852,"Gottes Zeit ist die allerbeste Zeit, BWV 106",Choral orchestral,Johann Sebastian Bach,1708,Baroque,Germany,3
853,"Violin Concerto in B Minor, Op. 61",Violin Concerto,Edward Elgar,1910,Late Romantic,England,3
854,"Alcina, HWV 34",Opera,George Frideric Handel,1735,Baroque,Germany,3
855,"St Paul's Suite (Suite in C), Op. 29 No. 2",Unsorted Orchestral,Gustav Holst,1912,Late Romantic,England,3
856,Concerto for Orchestra,Unsorted Orchestral,Witold Lutosławski,1954,Post-War,Poland,3
857,"Waldszenen, Op. 82",Piano Sonata,Robert Schumann,1849,Romantic,Germany,3
858,"String Quartet No. 9 in C Major, Op. 59 No. 3",String Quartet,Ludwig van Beethoven,1808,Early Romantic,Germany,3
859,"Auf dem Wasser zu singen, D. 774",Lieder / Song,Franz Schubert,1823,Early Romantic,Austria,3
860,Orpheus,Ballet,Igor Stravinsky,1947,20th Century,Russia,3
861,"Prelude (Toccata) and Fugue in E Major (Dorian), BWV 566",Organ,Johann Sebastian Bach,1708,Baroque,Germany,3
862,"Guitar Concerto, W 501",Unsorted Orchestral,Heitor Villa-Lobos,1951,20th Century,Brazil,3
863,Symphony in Three Movements,Symphony,Igor Stravinsky,1945,20th Century,Russia,3
864,"Violin Sonata No. 26 in B-flat Major, K. 378 (K. 317d)",Violin Sonata,Wolfgang Amadeus Mozart,1779,Classical,Austria,3
865,The Turn of the Screw,Opera,Benjamin Britten,1954,20th Century,England,3
866,Introduction and Allegro,Unsorted Orchestral,Edward Elgar,1905,Late Romantic,England,3
867,"Roman Carnival Overture (Le carnaval romain), H 95",Unsorted Orchestral,Hector Berlioz,1844,Romantic,France,3
868,"Variations on a Theme of Frank Bridge, Op. 10",Unsorted Orchestral,Benjamin Britten,1937,20th Century,England,3
869,"Piano Sonata No. 8, K. 310/300d",Piano Sonata,Wolfgang Amadeus Mozart,1778,Classical,Austria,3
870,"Pour le piano, L. 95",Piano Sonata,Claude Debussy,1901,Late Romantic,France,3
871,"Norwegian Dances, Op. 35",Unsorted Orchestral,Edvard Grieg,1880,Romantic,Norway,3
872,"Nacht und Träume, D. 827",Lieder / Song,Franz Schubert,1825,Early Romantic,Austria,3
873,"The Rock, Op. 7",Symphonic Poem,Sergei Rachmaninoff,1893,Late Romantic,Russia,3
874,Glagolitic Mass,Mass / Requiem,Leoš Janáček,1926,Late Romantic,Czech Republic,3
875,Violin Concerto,Violin Concerto,William Walton,1939,20th Century,England,3
876,Dances of Galánta,Unsorted Orchestral,Zoltán Kodály,1933,20th Century,Hungary,3
877,"Harpsichord conceto (Concerto for Harpsichord, Flute, Oboe, Clarinet, Violin and Cello)",Harpsichord conceto,Manuel de Falla,1926,20th Century,Spain,3
878,"Symphony No. 3 (The Camp Meeting), S. 3 (K. 1A3)",Symphony,Charles Ives,1910,20th Century,United States,3
879,"Capriccio, Op. 85",Opera,Richard Strauss,1942,Late Romantic,Germany,3
880,"Piano Sonata No. 3 in A Minor, Op. 28",Piano Sonata,Sergei Prokofiev,1917,20th Century,Russia,3
881,Symphony No. 4 (Heroes),Symphony,Philip Glass,1996,Post-War,United States,3
882,"The Seven Last Words of Christ (Die sieben letzten Worte unseres Erlösers am Kreuze), Hob. XX/1a",Choral orchestral,Joseph Haydn,-1,Classical,Austria,3
883,"Piano Concerto No. 2 in C Minor, Op. 50",Piano Concerto,Nikolai Medtner,1927,Late Romantic,Russia,3
884,"Piano Sonata No. 16 in A Minor, D. 845",Piano Sonata,Franz Schubert,1825,Early Romantic,Austria,3
885,"String Quartet No. 8 in E Minor, Op. 59 No. 2",String Quartet,Ludwig van Beethoven,1808,Early Romantic,Germany,3
886,"Symphony No. 1 in F Minor, Op. 10",Symphony,Dmitri Shostakovich,1925,20th Century,Russia,3
887,"Pastorale d'été, H. 31",Symphonic Poem,Arthur Honegger,1920,20th Century,Switzerland,3
888,Symphony No. 4 (Deliciæ Basiliensis),Symphony,Arthur Honegger,1946,20th Century,Switzerland,3
889,Serenade to Music,Voice and Orchestra,Ralph Vaughan Williams,1938,Late Romantic,England,3
890,"Piano Quartet No. 2 in A Major, Op. 26",Piano Quartet,Johannes Brahms,1861,Romantic,Germany,3
891,"Symphony No. 4, H. 305",Symphony,Bohuslav Martinů,1945,20th Century,Czech Republic,3
892,Catalogue d'oiseaux,Piano Sonata,Olivier Messiaen,1958,20th Century,France,3
893,"Atys, LWV 53",Opera,Jean-Baptiste Lully,1676,Baroque,France,3
894,"Symphony No. 4 in C Minor, Op. 43",Symphony,Dmitri Shostakovich,1936,20th Century,Russia,3
895,"Piano Sonata No. 14 in A Minor, D. 784",Piano Sonata,Franz Schubert,1823,Early Romantic,Austria,3
896,Symphony No. 3 in A Minor,Symphony,Alexander Borodin,1882,Romantic,Russia,3
897,In Tempus Praesens,Violin Concerto,Sofia Gubaidulina,2007,Post-War,Russia,3
898,String Quartet No. 2 (Company),String Quartet,Philip Glass,1979,Post-War,United States,3
899,"Concerto for Two Pianos and Orchestra in D Minor, FP 61",Double Concerto,Francis Poulenc,1932,20th Century,France,3
900,Violin Phase,Unsorted Orchestral,Steve Reich,1967,Post-War,United States,3
901,Káťa Kabanová,Opera,Leoš Janáček,1921,Late Romantic,Czech Republic,3
902,Il turco in Italia (The Turk in Italy),Opera,Gioachino Rossini,1814,Early Romantic,Italy,3
903,"Piano Concerto No. 1 in D Major, Op. 17",Piano Concerto,Camille Saint-Saëns,1858,Romantic,France,3
904,"Piano Concerto No. 1 in F-sharp Minor, Op. 1",Piano Concerto,Mily Balakirev,1856,Romantic,Russia,3
905,Symphony No. 3,Symphony,Arnold Bax,1929,20th Century,England,3
906,Requiem in C Minor,Mass / Requiem,Antonio Salieri,1804,Classical,Italy,3
907,"Piano Trio, Op. 50",Piano Trio,Enrique Granados,1895,Late Romantic,Spain,3
908,"Symphony No. 6 (Sinfonia Semplice), FS 116",Symphony,Carl Nielsen,1925,Late Romantic,Denmark,3
909,"Cello Symphony, Op. 68",Symphony,Benjamin Britten,1963,20th Century,England,3
910,"Symphony No. 22 in E-flat Major (The Philosopher), Hob. I/22",Symphony,Joseph Haydn,1764,Classical,Austria,3
911,"Symphony No. 3 in D Major, D. 200",Symphony,Franz Schubert,1815,Early Romantic,Austria,3
912,"Piano Concerto No. 2 in B Major, Op. 100",Piano Concerto,Alexander Glazunov,1917,Late Romantic,Russia,3
913,"Aubade, FP 51",Piano Concerto,Francis Poulenc,1929,20th Century,France,3
914,"Symphony No. 5, Op. 50, FS 97",Symphony,Carl Nielsen,1922,Late Romantic,Denmark,3
915,"Symphony No. 100 in G Major (Military Symphony), H. I/100",Symphony,Joseph Haydn,1794,Classical,Austria,3
916,Sinfonietta,Symphonic Poem,Leoš Janáček,1926,Late Romantic,Czech Republic,3
917,"Roméo et Juliette, H 79",Symphony,Hector Berlioz,1839,Romantic,France,3
918,"Symphony No. 6 in A Major, WAB 106",Symphony,Anton Bruckner,1881,Romantic,Austria,3
919,"Symphony No. 3 in D Major (Polish Symphony), Op. 29",Symphony,Pyotr Ilyich Tchaikovsky,1875,Romantic,Russia,3
920,"Symphony in C Major, WWV 29",Symphony,Richard Wagner,1832,Romantic,Germany,3
921,"Elektra, Op. 58",Opera,Richard Strauss,1909,Late Romantic,Germany,3
922,Idyll for string orchestra,Unsorted Orchestral,Leoš Janáček,1878,Late Romantic,Czech Republic,3
923,"Novelletten, Op. 21",Piano Sonata,Robert Schumann,1838,Romantic,Germany,3
924,Gruppen,Unsorted Orchestral,Karlheinz Stockhausen,1957,Post-War,Germany,2
925,Don Carlos,Opera,Giuseppe Verdi,1867,Romantic,Italy,2
926,"Cantique de Jean Racine, Op. 11",Choral orchestral,Gabriel Fauré,1865,Late Romantic,France,2
927,"Fantasie in C Major, Op. 17",Piano Sonata,Robert Schumann,1836,Romantic,Germany,2
928,"Piano Quartet No. 1 in G Minor, K. 478",Piano Quartet,Wolfgang Amadeus Mozart,1785,Classical,Austria,2
929,"Piano Quartet No. 3 in C Minor (Werther Quartet), Op. 60",Piano Quartet,Johannes Brahms,1875,Romantic,Germany,2
930,"Horn Trio in E-flat Major, Op. 40",Piano Trio,Johannes Brahms,1865,Romantic,Germany,2
931,"Violin Sonata No. 10 in G Major, Op. 96",Violin Sonata,Ludwig van Beethoven,1812,Early Romantic,Germany,2
932,"Harpsichord conceto No. 4 in A Major, BWV 1055",Harpsichord conceto,Johann Sebastian Bach,1738,Baroque,Germany,2
933,"Romantic Pieces, 75, B. 150",Violin Sonata,Antonín Dvořák,1887,Romantic,Czech Republic,2
934,"24 Preludes and Fugues, Op. 87",Piano Sonata,Dmitri Shostakovich,1951,20th Century,Russia,2
935,"Cello Sonata No. 4 in C Major, Op. 101 No. 1",Cello Sonata,Ludwig van Beethoven,1815,Early Romantic,Germany,2
936,The Firste Booke of Songes,Lieder / Song,John Dowland,-1,Medieval-Renaissance,England,2
937,Miserere mei Deus,Chant,Josquin des Prez,1504,Medieval-Renaissance,Belgium,2
938,"Violin Sonata No. 1 in G Major, Op. 78",Violin Sonata,Johannes Brahms,1879,Romantic,Germany,2
939,Viola Concerto,Viola Concerto,William Walton,1929,20th Century,England,2
940,"Clarinet Sonata, FP 184",Clarinet Sonata,Francis Poulenc,1962,20th Century,France,2
941,Visions de l'Amen,Piano duet / Piano four hands,Olivier Messiaen,1943,20th Century,France,2
942,"Violin Sonata No. 1, Sz. 75",Violin Sonata,Béla Bartók,1921,20th Century,Hungary,2
943,"Piano Quartet No. 2 in E-flat Major, K. 493",Piano Quartet,Wolfgang Amadeus Mozart,1786,Classical,Austria,2
944,String Quartet No. 2 (Intimate Letters),String Quartet,Leoš Janáček,1928,Late Romantic,Czech Republic,2
945,"Kreisleriana, Op. 16",Piano Sonata,Robert Schumann,1838,Romantic,Germany,2
946,"Triple Concerto in A Minor (Concerto for Flute, Violin and Harpsichord), BWV 1044",Triple Concerto,Johann Sebastian Bach,1740,Baroque,Germany,2
947,"Ave Maria, WAB 6",Chant,Anton Bruckner,1861,Romantic,Austria,2
948,"Requiem (Grande Messe des morts), H 75",Mass / Requiem,Hector Berlioz,1837,Romantic,France,2
949,"Clarinet Concerto No. 1, Op. 73, J. 114",Wind Concerto,Carl Maria von Weber,1811,Early Romantic,Germany,2
950,"The Fairy Queen, Z. 629",Opera,Henry Purcell,1692,Baroque,England,2
951,Missa Pange Lingua,Mass / Requiem,Josquin des Prez,-1,Medieval-Renaissance,Belgium,2
952,"Violin Sonata No. 2 in A Major, Op. 100",Violin Sonata,Johannes Brahms,1886,Romantic,Germany,2
953,"Cello Sonata No. 2 in G Minor, Op. 5 No. 2",Cello Sonata,Ludwig van Beethoven,1796,Early Romantic,Germany,2
954,"Violin Sonata No. 33 in E-flat Major, K. 481",Violin Sonata,Wolfgang Amadeus Mozart,1785,Classical,Austria,2
955,"Four Pieces for Violin and Piano, Op. 7",Violin Sonata,Anton Webern,1914,20th Century,Austria,2
956,"Ein Heldenleben (A Hero's Life), Op. 40",Symphonic Poem,Richard Strauss,1898,Late Romantic,Germany,2
957,"Jeux, L. 126",Unsorted Orchestral,Claude Debussy,1913,Late Romantic,France,2
958,"Jesu, der du meine Seele, BWV 78",Choral orchestral,Johann Sebastian Bach,1724,Baroque,Germany,2
959,"Easter Oratorio (Oster-Oratorium), BWV 249",Choral orchestral,Johann Sebastian Bach,1725,Baroque,Germany,2
960,"Cello Concerto in A Minor, H. 432",Cello Concerto,Carl Philipp Emanuel Bach,1750,Classical,Germany,2
961,"Stabat Mater, Op. 58, B. 71",Choral orchestral,Antonín Dvořák,1877,Romantic,Czech Republic,2
962,"String Quintet in C Major, Op. 29",String Quintet,Ludwig van Beethoven,1801,Early Romantic,Germany,2
963,"Piano Trio in D Minor, Op. 120",Piano Trio,Gabriel Fauré,1923,Late Romantic,France,2
964,"Organ Sonatas, Op. 65",Organ,Felix Mendelssohn,1845,Romantic,Germany,2
965,"Singet dem Herrn ein neues Lied (Sing unto the Lord a new song), BWV 225",Choral orchestral,Johann Sebastian Bach,1727,Baroque,Germany,2
966,Songs and Dances of Death,Lieder / Song,Modest Mussorgsky,1875,Romantic,Russia,2
967,"Wind Quintet, Op. 43",Unsorted Chamber,Carl Nielsen,1922,Late Romantic,Denmark,2
968,Le marteau sans maître,Voice and Orchestra,Pierre Boulez,1954,Post-War,France,2
969,Mass for Five Voices,Mass / Requiem,William Byrd,-1,Medieval-Renaissance,England,2
970,"Phantasy for Violin and Piano, Op. 47",Violin Sonata,Arnold Schoenberg,1949,20th Century,Austria,2
971,"Piano Trio No. 3 in F Major, Op. 65",Piano Trio,Antonín Dvořák,1883,Romantic,Czech Republic,2
972,"Voces intimae, Op. 56",String Quartet,Jean Sibelius,1909,Late Romantic,Finland,2
973,"String Quartet No. 11 in F Minor, Op. 95",String Quartet,Ludwig van Beethoven,1810,Early Romantic,Germany,2
974,String Quartet No. 1 (Kreutzer Sonata),String Quartet,Leoš Janáček,1923,Late Romantic,Czech Republic,2
975,"String Quartet No. 17 in B-flat Major (The Hunt), K. 458",String Quartet,Wolfgang Amadeus Mozart,1784,Classical,Austria,2
976,String Quartet in B Minor,String Quartet,Samuel Barber,1936,20th Century,United States,2
977,"En blanc et noir, L. 134",Piano duet / Piano four hands,Claude Debussy,1915,Late Romantic,France,2
978,"String Quintet in E Major, G. 275",String Quintet,Luigi Boccherini,1771,Classical,Italy,2
979,"Horn Concerto No. 1 in E-flat Major, Op. 11",Wind Concerto,Richard Strauss,1883,Late Romantic,Germany,2
980,Vesperae solennes de confessore in 3 Minor,Choral orchestral,Wolfgang Amadeus Mozart,1780,Classical,Austria,2
981,"Suite for Piano, Op. 25",Piano Sonata,Arnold Schoenberg,1923,20th Century,Austria,2
982,"Eight Short Preludes and Fugues (8 Kleine Präludien und Fugen), BWV 553–560",Organ,Johann Sebastian Bach,-1,Baroque,Germany,2
983,Folk Songs,Lieder / Song,Luciano Berio,1964,Post-War,Italy,2
984,"Selva Morale e Spirituale, SV 252–288",Choral orchestral,Claudio Monteverdi,-1,Medieval-Renaissance,Italy,2
985,"Madrigals, Book 8 (Madrigali Guerrieri et Amorosi), SV 146–167",Voice and Orchestra,Claudio Monteverdi,-1,Medieval-Renaissance,Italy,2
986,"Der Hirt auf dem Felsen (The Shepherd on the Rock), D. 965",Lieder / Song,Franz Schubert,1828,Early Romantic,Austria,2
987,"String Quartet No. 1 in A Minor, Sz. 40",String Quartet,Béla Bartók,1909,20th Century,Hungary,2
988,"Piano Sonata No. 2 (Concord, Mass., 1840-60)",Piano Sonata,Charles Ives,1920,20th Century,United States,2
989,Peter Grimes,Opera,Benjamin Britten,1945,20th Century,England,2
990,Three Places in New England ((Orchestral Set No. 1)),Unsorted Orchestral,Charles Ives,1914,20th Century,United States,2
991,"Eight Pieces for Clarinet, Viola and Piano, Op. 83",Piano Trio,Max Bruch,1910,Romantic,Germany,2
992,"Guitar Quintet No. 1 in D Minor, G. 445",String Quintet,Luigi Boccherini,1798,Classical,Italy,2
993,"Nuages gris (Trübe Wolken), S. 199",Piano Sonata,Franz Liszt,1881,Romantic,Hungary,2
994,"Hail! Bright Cecilia (Ode to St. Cecilia), Z. 328",Choral orchestral,Henry Purcell,1692,Baroque,England,2
995,Sicut cervus,Chant,Giovanni Pierluigi da Palestrina,-1,Medieval-Renaissance,Italy,2
996,Ave verum corpus,Chant,William Byrd,-1,Medieval-Renaissance,England,2
997,Klavierstücke,Piano Sonata,Karlheinz Stockhausen,-1,Post-War,Germany,2
998,Drumming,Unsorted Chamber,Steve Reich,1971,Post-War,United States,2
999,"Symphony No. 6 (Fantaisies symphoniques), H. 343",Symphony,Bohuslav Martinů,1953,20th Century,Czech Republic,2
1000,"String Quartet No. 15 in E-flat Minor, Op. 144",String Quartet,Dmitri Shostakovich,1974,20th Century,Russia,2
1001,"Piano Concerto No. 5 in G Major, Op. 55",Piano Concerto,Sergei Prokofiev,1932,20th Century,Russia,2
1002,"Violin Sonata No. 21 in E Minor, K. 304 (K300c)",Violin Sonata,Wolfgang Amadeus Mozart,1778,Classical,Austria,2
1003,"Concerto for 2 Trumpets, RV 537",Wind Concerto,Antonio Vivaldi,-1,Baroque,Italy,2
1004,"Bassoon Concerto, Op. 75 (J. 127)",Wind Concerto,Carl Maria von Weber,1811,Early Romantic,Germany,2
1005,"A Ceremony of Carols, Op. 28",Choral orchestral,Benjamin Britten,1942,20th Century,England,2
1006,"Symphony No. 2 in B Major (To October), Op. 14",Symphony,Dmitri Shostakovich,1927,20th Century,Russia,2
1007,"Don Quixote, Op. 35",Symphonic Poem,Richard Strauss,1898,Late Romantic,Germany,2
1008,"Clarinet Quintet in A Major, Op. 146",Clarinet Quintet,Max Reger,1916,Late Romantic,Germany,2
1009,"Clarinet Quintet in B-flat Major, Op. 34",Clarinet Quintet,Carl Maria von Weber,1815,Early Romantic,Germany,2
1010,"Fantasia and Fugue in A Minor, BWV 944",Piano Sonata,Johann Sebastian Bach,1714,Baroque,Germany,2
1011,Gassenhauer,Unsorted Orchestral,Carl Orff,1931,20th Century,Germany,2
1012,"Symphony No. 3 in C Minor, Op. 44",Symphony,Sergei Prokofiev,1928,20th Century,Russia,2
1013,"String Quartet No. 18 in A Major, K. 464",String Quartet,Wolfgang Amadeus Mozart,1785,Classical,Austria,2
1014,"Piano Concerto No. 22 in E-flat Major, K. 482",Piano Concerto,Wolfgang Amadeus Mozart,1785,Classical,Austria,2
1015,"Sonata romantica in B-flat Minor, Op. 53 No. 1",Piano Sonata,Nikolai Medtner,1931,Late Romantic,Russia,2
1016,"Der Freischütz, Op. 77, J. 277",Opera,Carl Maria von Weber,1821,Early Romantic,Germany,2
1017,"Armide, LWV 71",Opera,Jean-Baptiste Lully,1686,Baroque,France,2
1018,"Violin Concerto No. 3 in B Minor, Op. 61",Violin Concerto,Camille Saint-Saëns,1880,Romantic,France,2
1019,"Mass No. 2 in E Minor, WAB 27",Mass / Requiem,Anton Bruckner,1866,Romantic,Austria,2
1020,"St. Paul (Paulus), Op. 36",Choral orchestral,Felix Mendelssohn,1836,Romantic,Germany,2
1021,"Fantasy and Fugue on the chorale ""Ad nos, ad salutarem undam"", S. 259",Organ,Franz Liszt,1850,Romantic,Hungary,2
1022,"Variations and Fugue on a Theme by Mozart, Op. 132",Unsorted Orchestral,Max Reger,1914,Late Romantic,Germany,2
1023,"String Quartet, Op. 28",String Quartet,Anton Webern,1938,20th Century,Austria,2
1024,"The Seasons (Die Jahreszeiten), Hob. XXI:3",Voice and Orchestra,Joseph Haydn,1801,Classical,Austria,2
1025,"Oboe Quartet, K. 370/368b",Unsorted Chamber,Wolfgang Amadeus Mozart,1781,Classical,Austria,2
1026,Mass for Four Voices,Mass / Requiem,William Byrd,-1,Medieval-Renaissance,England,2
1027,Eight Lines,Octet,Steve Reich,1979,Post-War,United States,2
1028,"Piano Sonata No. 19 in C Minor, D. 958",Piano Sonata,Franz Schubert,1828,Early Romantic,Austria,2
1029,"Seven Fantasias (7 Fantasien), Op. 116",Piano Sonata,Johannes Brahms,1892,Romantic,Germany,2
1030,"Piano Sonata, Op. 1",Piano Sonata,Alban Berg,1909,20th Century,Austria,2
1031,Fountains of Rome (Fontane di Roma),Symphonic Poem,Ottorino Respighi,1917,Late Romantic,Italy,2
